"","Kingdom","Phylum","Class","Order","Family","Rank6","Rank7","Genus","Species","Rank5","Rank3","Rank4","Rank2"
"2937207","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"1111900","Bacteria","Spirochaetes","Spirochaetes","Spirochaetales","Spirochaetaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4378167","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"540668","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Microthrixaceae",NA,NA,NA,NA,NA,NA,NA,NA
"345995","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","RF16",NA,NA,NA,NA,NA,NA,NA,NA
"185593","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae",NA,NA,NA,NA,NA,NA,NA,NA
"185100","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4264281","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiopsaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4306262","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"289883","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4393181","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae",NA,NA,NA,NA,NA,NA,NA,NA
"121873","Bacteria","Firmicutes","Clostridia","Clostridiales","Dehalobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4443138","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4347159","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"575533","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4430475","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Pseudoalteromonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"334459","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12574","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4212795","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4436552","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4364838","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA,NA,NA,NA,NA,NA,NA,NA
"3991527","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae",NA,NA,NA,NA,NA,NA,NA,NA
"290455","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1040796","Bacteria","WPS-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4480861","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4425214","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4448331","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"620684","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"359872","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,NA,NA,NA,NA,NA,NA,NA
"269386","Bacteria","Cyanobacteria","4C0d-2","YS2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4396235","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"320888","Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2755928","Bacteria","Cyanobacteria","Chloroplast","Chlorophyta","Trebouxiophyceae",NA,NA,NA,NA,NA,NA,NA,NA
"4295564","Bacteria","[Thermi]","Deinococci","Thermales","Thermaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4426982","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"246717","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"4453609","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"131883","Bacteria","[Thermi]","Deinococci","Deinococcales","Deinococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"2300392","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1696853","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4402457","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4415689","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"539735","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dietziaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1119668","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4366310","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4402605","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"190032","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1127736","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Gordoniaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4387092","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4457438","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,NA,NA,NA,NA,NA,NA
"4340498","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1053321","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"816291","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4417475","Bacteria","Proteobacteria","Alphaproteobacteria","Ellin329",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4445692","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"239739","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA,NA,NA,NA,NA,NA,NA
"849440","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4337664","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"4359590","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"684858","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4428714","Bacteria","Tenericutes","Mollicutes","RF39",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4154872","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]",NA,NA,NA,NA,NA,NA,NA,NA
"252006","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4349447","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4340285","Bacteria","Acidobacteria","Acidobacteria-6","iii1-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4481131","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"177679","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA,NA,NA,NA,NA,NA,NA
"153210","Bacteria","Proteobacteria","Alphaproteobacteria","BD7-3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"505670","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]",NA,NA,NA,NA,NA,NA,NA,NA
"4469032","Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"982266","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","[Chromatiaceae]",NA,NA,NA,NA,NA,NA,NA,NA
"99322","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4333669","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4362620","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae",NA,NA,NA,NA,NA,NA,NA,NA
"2234","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Blattabacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4480598","Bacteria","Firmicutes","Bacilli","Bacillales","[Exiguobacteraceae]",NA,NA,NA,NA,NA,NA,NA,NA
"4458619","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermacoccaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1117593","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4423681","Bacteria","Gemmatimonadetes","Gemmatimonadetes","N1423WL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4303191","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4453535","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4365130","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4340706","Bacteria","Acidobacteria","[Chloracidobacteria]","RB41","Ellin6075",NA,NA,NA,NA,NA,NA,NA,NA
"2211108","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"4417805","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"2020091","Bacteria","Cyanobacteria","Chloroplast","Chlorophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"163857","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae",NA,NA,NA,NA,NA,NA,NA,NA
"23652","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1058762","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"2836860","Bacteria","GN02","BD1-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1049961","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae",NA,NA,NA,NA,NA,NA,NA,NA
"890516","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Frankiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"290686","Bacteria","Verrucomicrobia","Opitutae","[Cerasicoccales]","[Cerasicoccaceae]",NA,NA,NA,NA,NA,NA,NA,NA
"7821","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4430826","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"494971","Bacteria","Synergistetes","Synergistia","Synergistales","Dethiosulfovibrionaceae",NA,NA,NA,NA,NA,NA,NA,NA
"175844","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Barnesiellaceae]",NA,NA,NA,NA,NA,NA,NA,NA
"4447394","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4463185","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae",NA,NA,NA,NA,NA,NA,NA,NA
"339685","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"7366","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"226240","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4451781","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4431592","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae",NA,NA,NA,NA,NA,NA,NA,NA
"2941399","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4392110","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43373","Bacteria","Spirochaetes","[Brachyspirae]","[Brachyspirales]","Brachyspiraceae",NA,NA,NA,NA,NA,NA,NA,NA
"4435984","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"677165","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"675509","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"248902","Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"1123395","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Promicromonosporaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4414344","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4423978","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4376318","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"4453316","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA,NA,NA,NA,NA,NA,NA
"4468234","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae",NA,NA,NA,NA,NA,NA,NA,NA
"165118","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]",NA,NA,NA,NA,NA,NA,NA,NA
"542066","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1071450","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"212239","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"886735","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1016369","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"29012","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae",NA,NA,NA,NA,NA,NA,NA,NA
"264791","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4446058","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4420570","Bacteria","Cyanobacteria","Chloroplast","Streptophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"715138","Bacteria","TM7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647864","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4402903","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4329575","Bacteria","Lentisphaerae","[Lentisphaeria]","Victivallales","Victivallaceae",NA,NA,NA,NA,NA,NA,NA,NA
"952003","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4299136","Bacteria","TM7","TM7-3","CW040","F16",NA,NA,NA,NA,NA,NA,NA,NA
"882616","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"2986479","Bacteria","Cyanobacteria","Chloroplast","Stramenopiles",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85407","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4330849","Bacteria","SR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13332","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Williamsiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4435518","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"15257","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae",NA,NA,NA,NA,NA,NA,NA,NA
"581056","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4471067","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"262857","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4477696","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4388385","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4481613","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"91842","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolinaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4365684","Bacteria","TM7","TM7-3","CW040",NA,NA,NA,NA,NA,NA,NA,NA,NA
"922239","Bacteria","Firmicutes","Bacilli","Gemellales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3805726","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]",NA,NA,NA,NA,NA,NA,NA,NA
"325850","Bacteria","Proteobacteria","Alphaproteobacteria","RF32",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4395040","Bacteria","Acidobacteria","Solibacteres","Solibacterales","[Bryobacteraceae]",NA,NA,NA,NA,NA,NA,NA,NA
"1111551","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1105341","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae",NA,NA,NA,NA,NA,NA,NA,NA
"237976","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"728271","Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119242","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae",NA,NA,NA,NA,NA,NA,NA,NA
"934094","Bacteria","FBP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151012","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"1126159","Bacteria","Proteobacteria","Betaproteobacteria","Gallionellales","Gallionellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"925200","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Conexibacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"756593","Bacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3863098","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"869496","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2631","Bacteria","Bacteroidetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157266","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae",NA,NA,NA,NA,NA,NA,NA,NA
"512382","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Koribacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"1109402","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3726190","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae",NA,NA,NA,NA,NA,NA,NA,NA
